項次,編號,道路編號,道路方向,里程數_公里,速限_公里_小時,X座標,Y座標,WGS84東經_度,WGS84北緯_度,備註
1,H-1-S-2-(100),國道1號,南向,2,100,323092.92,2777809.5,121.724738,25.106857,國道1號南向2
2,H-1-S-13.7-(100),國道1號,南向,13.7,100,313048.65,2773313.88,121.624945,25.066725,國道1號南向13.7
3,H-1-S-22.7-(100),國道1號,南向,22.7,100,304159.28,2773976.3,121.536862,25.07305,國道1號南向22.7
4,H-1-S-30-(100),國道1號,南向,30,100,297045.14,2774269.8,121.466354,25.075938,國道1號南向30
5,H-1-S-34.4-(50),國道1號,南向,34.4,50,292812.63,2773290.42,121.424368,25.067222,國道1號南向34.4
6,H-1-S-60.1-(100),國道1號,南向,60.1,100,271875.45,2762511.74,121.216665,24.970357,國道1號南向60.1
7,H-1-S-78.2-(100),國道1號,南向,78.2,100,258300.05,2753011.45,121.082151,24.884719,國道1號南向78.2
8,H-1-S-81.8-(100),國道1號,南向,81.8,100,254931.27,2752111.15,121.048805,24.876605,國道1號南向81.8
9,H-1-S-102.5-(100),國道1號,南向,102.5,100,246815.76,2736545.54,120.968521,24.736074,國道1號南向102.5
10,H-1-S-124-(100),國道1號,南向,124,100,235867.06,2720598.59,120.860444,24.592031,國道1號南向124
11,H-1-S-126.5-(100),國道1號,南向,126.5,100,235085.27,2718248.28,120.852749,24.570803,國道1號南向126.5
12,H-1-S-152.9-(100),國道1號,南向,152.9,100,224278.34,2696115.99,120.746455,24.37083,國道1號南向152.9
13,H-1-S-165.3-(110),國道1號,南向,165.3,110,218840.49,2685324.85,120.693088,24.273297,國道1號南向165.3
14,H-1-S-172.4-(110),國道1號,南向,172.4,110,216802.66,2678787.89,120.673167,24.214232,國道1號南向172.4
15,H-1-S-187.5-(110),國道1號,南向,187.5,110,209083.75,2667611.22,120.597491,24.113134,國道1號南向187.5
16,H-1-S-200.1-(110),國道1號,南向,200.1,110,201567.74,2660983.44,120.523776,24.053078,國道1號南向200.1
17,H-1-S-223.4-(110),國道1號,南向,223.5,110,197460.53,2637925.35,120.484221,23.844749,國道1號南向223.5
18,H-1-S-238.6-(110),國道1號,南向,238.6,110,196577.74,2623266.1,120.476085,23.712355,國道1號南向238.6
19,H-1-S-247.2-(110),國道1號,南向,247.2,110,193252.35,2615442.31,120.443773,23.641596,國道1號南向247.2
20,H-1-S-252.2-(110),國道1號,南向,252.2,110,192271.75,2610559.89,120.434351,23.597475,國道1號南向252.2
21,H-1-S-260.5-(110),國道1號,南向,260.5,110,189327.64,2602839.14,120.405818,23.527652,國道1號南向260.5
22,H-1-S-276.2-(110),國道1號,南向,276.2,110,184099.29,2588473.98,120.355248,23.397736,國道1號南向276.2
23,H-1-S-279-(110),國道1號,南向,279,110,183623.73,2585759.85,120.350715,23.373209,國道1號南向279
24,H-1-S-285.3-(110),國道1號,南向,285.3,110,179117.8,2581472.23,120.306842,23.334304,國道1號南向285.3
25,H-1-S-293.1-(110),國道1號,南向,293.1,110,175043.42,2574884.74,120.267327,23.27464,國道1號南向293.1
26,H-1-S-301.6-(110),國道1號,南向,301.6,110,171851.57,2567099.04,120.23653,23.204189,國道1號南向301.6
27,H-1-S-306.1-(110),國道1號,南向,306.1,110,171312.73,2562664.41,120.231495,23.16412,國道1號南向306.1
28,H-1-S-315.5-(110),國道1號,南向,315.5,110,173339.31,2553627.66,120.251739,23.082615,國道1號南向315.5
29,H-1-S-321.8-(110),國道1號,南向,321.8,110,173056.98,2547386.62,120.249296,23.026246,國道1號南向321.8
30,H-1-S-340.2-(110),國道1號,南向,340.2,110,176598.46,2529842.04,120.28468,22.867977,國道1號南向340.2
31,H-1-S-353.4-(110),國道1號,南向,353.4,110,181419,2517696.16,120.33219,22.7585,國道1號南向353.4
32,H-1-S-362.5-(100),國道1號,南向,362.5,100,181023.41,2508731.94,120.328733,22.677533,國道1號南向362.5
33,H-1-S-373.5-(60),國道1號,南向,373.5,60,180938.92,2498568.24,120.328357,22.585746,國道1號南向373.5
34,H-1-N-1.9-(100),國道1號,北向,1.9,100,323152.89,2777910.29,121.725338,25.107764,國道1號北向1.9
35,H-1-N-7.5-(100),國道1號,北向,7.5,100,318663.92,2775454.82,121.680708,25.085808,國道1號北向7.5
36,H-1-N-14.5-(100),國道1號,北向,14.5,100,312190.69,2773220.33,121.616437,25.065916,國道1號北向14.5
37,H-1-N-34.4-(50),國道1號,北向,34.4,50,292763.83,2773183.49,121.423881,25.066258,國道1號北向34.4
38,H-1-N-37-(100),國道1號,北向,37,100,290616.61,2771967.17,121.402562,25.055336,國道1號北向37
39,H-1-N-63.7-(100),國道1號,北向,63.7,100,269668.93,2759792.07,121.194772,24.945833,國道1號北向63.7
40,H-1-N-81.1-(100),國道1號,北向,81.1,100,255633.67,2752043.36,121.055756,24.875991,國道1號北向81.1
41,H-1-N-82.1-(100),國道1號,北向,82.1,100,254656.87,2752105.93,121.046089,24.876559,國道1號北向82.1
42,H-1-N-105.5-(100),國道1號,北向,105.5,100,244670.59,2735530.33,120.947318,24.726902,國道1號北向105.5
43,H-1-N-127.5-(100),國道1號,北向,127.5,100,234422.44,2717580.44,120.846212,24.564767,國道1號北向127.5
44,H-1-N-141.7-(100),國道1號,北向,141.7,100,228512.62,2706212.42,120.788041,24.462055,國道1號北向141.7
